name,tag,latitude,longitude
調布飛行場,1,35.67227864,139.5288038
羽田空港,1,35.54956342,139.7798279
成田国際空港,1,35.77246521,140.3927904
茨城空港,1,36.17813693,140.4075249
福島空港,1,37.22860034,140.4283423
仙台国際空港,1,38.13790069,140.9297252
山形空港,1,38.41066849,140.3666646
新潟空港,1,37.95269327,139.11331
庄内空港,1,38.81599401,139.787621
いわて花巻空港,1,39.42156698,141.1385811
秋田空港,1,39.614798,140.2176325
大館能代空港,1,40.19402722,140.3721773
青森空港,1,40.73555239,140.6904235
三沢空港,1,40.69657948,141.3878082
県営名古屋空港,1,35.2539365,136.9202071
信州まつもと空港,1,36.16486735,137.926458
中部国際空港,1,34.85749006,136.8107772
関西国際空港,1,34.43210416,135.230469
八尾空港,1,34.59798547,135.5970923
大阪国際空港（伊丹空港）,1,34.79102856,135.4407734
神戸空港,1,34.63554136,135.2249847
函館空港,1,41.77584432,140.8158329
新千歳空港,1,42.78773931,141.680751
千歳基地,1,42.81143441,141.653664
札幌丘珠空港,1,43.11098796,141.3824508
旭川空港,1,43.67055831,142.4545758
とかち帯広空港,1,42.73140699,143.2177515
たんちょう釧路空港,1,43.0452876,144.1962749
根室中標津空港,1,43.57300983,144.9561347
女満別空港,1,43.88181949,144.1585954
オホーツク紋別空港,1,44.30653236,143.4067395
稚内空港,1,45.39979113,141.7973994
小松空港,1,36.39292469,136.4059665
福井空港,1,36.14019621,136.2220217
岡山桃太郎空港,1,34.75839717,133.8557341
岡南飛行場,1,34.59326746,133.9292902
広島空港,1,34.44012464,132.9191419
高松空港,1,34.218456,134.0184755
徳島阿波おどり空港,1,34.13467547,134.6179304
高知龍馬空港,1,33.54781903,133.6740704
岩国錦帯橋空港,1,34.15896393,132.2346962
コウノトリ但馬空港,1,35.51663405,134.7892024
鳥取砂丘コナン空港,1,35.52675562,134.1679678
米子鬼太郎空港,1,35.49535949,133.238149
出雲縁結び空港,1,35.41380721,132.8888362
萩・石見空港,1,34.67833942,131.7966272
山口宇部空港,1,33.93358769,131.2749871
北九州空港,1,33.83912119,131.0333332
福岡空港,1,33.58519046,130.4490436
大分空港,1,33.47975716,131.7362656
大分県央飛行場,1,33.0262955,131.5055556
阿蘇くまもと空港,1,32.83523669,130.8589028
宮崎ブーゲンビリア空港,1,31.87639557,131.447344
鹿児島空港,1,31.80308179,130.7180883
天草空港,1,32.48245668,130.1592902
長崎空港,1,32.91398579,129.9185023
九州佐賀国際空港,1,33.15075334,130.3018821
